Título,Precio,M2,Habitaciones,Baños,Parking,Link
"Piso  con ascensor, calefacción, aire acondicionado y terraza en Barcelona",273.000 €,91,1,1,,
Apartamento  de 2 dormitorios - 51.00 m2 en Barcelona,254.500 €,51,2,1,Sin plaza parking,
Dúplex duplex en venta en la nova esquerra de l´eixample en Barcelona,750.000 €,188,3,2,Sin plaza parking,
Piso en carrer de serrano vilapicina i la torre llobeta / carrer de serrano en Barcelona,248.000 €,80,4,1,,
Piso en avinguda diagonal piso acogedor en zona privilegiada en Barcelona,239.000 €,52,3,1,,
Piso  en venta en rubí () bailen en Dreta de l´Eixample Barcelona,96.000 €,72,3,1,,
Piso en Esquerra Baixa de l´Eixample Barcelona,333.370 €,80,5,2,,
"Piso  en comte borrell - eixample, se vende la nuda propiedad en Barcelona",330.000 €,129,2.558,,,
Loft en Dreta de l´Eixample Barcelona,150.000 €,35,1,4.286,Sin plaza parking,
Piso en cataluña 0 en Dreta de l´Eixample Barcelona,685.750 €,106,3,2,,
Casa inmejorable loft duplex en les corts en Pedralbes Barcelona,385.000 €,80,1,2,,
Piso venta de piso en Trinitat Nova Barcelona,138.000 €,67,2,1,,
Piso luminoso piso en venta en el Poblenou en Poblenou Barcelona,245.000 €,54,2,1,,
Piso  en Barceloneta Barcelona,395.000 €,66,5.985,,,
Piso oportunidad inversor no visitas en Trinitat Vella Barcelona,69.000 €,55,3,1,Sin plaza parking,
"Casa  en venta en horta-guinardó, corbera de llobregat () sant andreu (de) en Barcelona",425.400 €,299,4,3,,
Piso en valencia 0 en Camp de l´Arpa Barcelona,193.800 €,51,1,1,,
Piso  en venta () sant antoni maria claret en Barcelona,116.700 €,50,2,1,,
Piso pîso reformado y luminoso en Les Corts en Les Corts Barcelona,449.000 €,82,3,2,,
Piso en aurora 0 en Raval Barcelona,170.650 €,45,3,1,,
Piso en Sant Antoni Barcelona,270.000 €,70,1,1,,
Piso en Sant Gervasi - Bonanova Barcelona,1.690.000 €,287,5,4,Plaza parking ,
Piso  en venta en calle quarter d en Roquetes Barcelona,139.500 €,54,3,1,,
Piso residencial en Trinitat Vella Barcelona,39.000 €,67,2,1,,
"Piso  en venta en horta-guinardó, () pintor mir en Barcelona",187.200 €,57,3,1,,
"Ático  en venta , con 79 m2, 1 habitaciones y 1 baños, ascensor y aire acondicionado. en Barcelona",540.000 €,79,1,1,Sin plaza parking,
Piso gran oportunidad: fantástico piso en la nova esquerra de l'eixample en Barcelona,399.000 €,98,3,1,Sin plaza parking,
Piso ¡solo inversores! en La Bordeta Barcelona,202.000 €,67,3,1,Sin plaza parking,
Piso en El Coll Barcelona,315.000 €,173,2,1,,
"Ático  con 2 habitaciones, ascensor y aire acondicionado en Barcelona",330.000 €,62,2,1,Sin plaza parking,
Piso apartamento con terraza en sant gervasi en Putget - Farró Barcelona,740.000 €,96,3,2,,
Piso acogedor loft próximo al mercado sant antoni en Barcelona,209.000 €,63,2,2,,
"Piso  de lujo en venta en Pedralbes, en Pedralbes Barcelona",2.500.000 €,271,5,5,,
Piso  en venta en Esquerra Baixa de l´Eixample Barcelona,248.000 €,65,3,1,,
Dúplex en La Salut Barcelona,360.000 €,118,3,2,,
"Estudio  35 m² , en Carmel Barcelona",68.000 €,35,1,1,Sin plaza parking,
Piso precioso piso de obra nueva con licencia turística en Barcelona,700.000 €,93,3,1,Sin plaza parking,
"Piso  en venta en horta-guinardó, () muhlberg en Barcelona",171.300 €,70,2,1,,
Piso  en venta de 49 m2 en Les Corts Barcelona,210.000 €,49,2,1,Sin plaza parking,
Piso en carrer salva precioso loft totalmente reformado en Poble Sec en Barcelona,232.000 €,69,1,1,Sin plaza parking,
Piso en carrer arc del teatre (l´) en Raval Barcelona,92.000 €,44,2,1,,
"Piso  en venta en gràcia, () republica argentina en Barcelona",523.000 €,154,4,1,,
"Piso  venta ciutat vella - el gótic, 489000€ en Barcelona",489.000 €,101,4,2,Sin plaza parking,
Piso promoción de obra nueva ubicada en el barrio del poblenou en Barcelona,394.000 €,50,2,1,,
"Ático espacioso piso en finca antigua situado en el bonito barrio del borne, al lado del mercado de santa caterina y junto a las calles carders y princesa con mucha oferta de comercios y restaurantes, y a pocos metros del paseo del borne, la catedral y centro c en Barcelona",250.000 €,99,2,1,,
Piso  con 3 habitaciones con ascensor en Prosperitat Barcelona,125.000 €,55,3,1,,
Piso en passeig de valldaura Porta / passeig de valldaura en Barcelona,145.000 €,65,3,1,,
Piso en Esquerra Alta de l´Eixample Barcelona,350.000 €,92,3,1,,
"Piso en passeig montjuic muy luminoso, todo exterior, vistas despejadas! en Barcelona",410.000 €,92,3,2,Sin plaza parking,
"Piso  con 2 habitaciones, ascensor, parking, aire acondicionado y terraza en Barcelona",385.000 €,60,2,1,Plaza parking ,
Piso la font d´en fargas en Carmel Barcelona,190.000 €,60,3,1,,
"Piso  con 2 habitaciones, ascensor, aire acondicionado y terraza en Barcelona",500.000 €,60,2,2,Sin plaza parking,
Planta baja en carrer bassegoda apartamento con terraza en sants en Barcelona,131.000 €,40,1,1,,
Piso vivienda disponible al lado de plaça francesc macià en Barcelona,445.000 €,79,3,1,,
Torre en carrer arc de sant marti (l´) vivienda única en la zona en Barcelona,1.495.000 €,335,5,4,Plaza parking ,
Piso  para actualizar en ronda general mitre (sant gervasi) en Barcelona,595.000 €,135,4,2,,
Piso  en venta en calle mare de deu de lorda en Barcelona,99.000 €,53,3,1,,
Piso vivienda disponible al lado de plaça francesc macià en Barcelona,450.000 €,77,2,1,,
"Dúplex duplex con 2 habitaciones, ascensor, piscina comunitaria y terraza en Barcelona",435.000 €,74,2,2,Sin plaza parking,
Piso  con ascensor en Dreta de l´Eixample Barcelona,254.000 €,55,1,1,Sin plaza parking,
Piso en Ciutat Meridiana Barcelona,85.000 €,60,3,1,Sin plaza parking,
Dúplex fantástico dúplex en eixample esquerra en Esquerra Baixa de l´Eixample Barcelona,797.000 €,108,4,3,,
Apartamento 157m2 atico en el paseo de gracia con una enorm... en Barcelona,2.500.000 €,160,4,2,,
Piso  con 2 habitaciones con ascensor en Prosperitat Barcelona,105.000 €,45,2,1,,
Piso en Vilapicina - Torre Llobeta Barcelona,295.800 €,55,2,1,,
"Piso  65 m² , en Esquerra Baixa de l´Eixample Barcelona",310.000 €,65,2,1,Sin plaza parking,
Piso  con 3 habitaciones con ascensor en Raval Barcelona,160.000 €,66,3,1,,
"Ático  con 3 habitaciones con ascensor, parking, calefacción, aire acondicionado y vistas al mar en Barcelona",650.000 €,110,3,2,Plaza parking ,
"Piso  en venta en gràcia, () republica argentina en Barcelona",696.000 €,223,5,1,,
Ático  único en Sarrià en Sarrià Barcelona,1.800.000 €,212,3,3,,
Piso  en av meridiana con balcón en Navas Barcelona,275.000 €,75,3,1,,
Ático exclusivo ático duplex con terraza en El Clot Barcelona,625.000 €,95,2,2,,
Piso  con ascensor y listo para entrar a vivir en Barcelona,185.000 €,80,3,1,Sin plaza parking,
Piso  con 3 habitaciones en Carmel Barcelona,128.000 €,74,3,1,,
Piso en balmes piso venta en la calle balmes- pl. j.folgueras en Barcelona,1.100.000 €,245,4,2,,
Piso en aragon 120 venta piso en eixample esquerra en Barcelona,308.000 €,96,2,2,,
Loft en Carmel Barcelona,84.000 €,57,1,1.474,,
Ático dúplex con espectaculares vistas en Sarrià Barcelona,1.800.000 €,212,3,3,Plaza parking ,
Piso en Fort Pienc Barcelona,325.000 €,100,4,2,,
Piso  con 3 habitaciones con aire acondicionado en Barcelona,99.500 €,60,3,1,,
Loft en verge de montserrat horta-guinardo en Guinardó Barcelona,45.000 €,20,1,1,,
Piso excelente ubicacion en Vila de Gràcia Barcelona,267.329 €,65,3,1,Sin plaza parking,
Piso  en venta de 157 m2 en Raval Barcelona,441.000 €,157,4,1,Sin plaza parking,
"Piso  en venta en les corts, en Esquerra Alta de l´Eixample Barcelona",460.000 €,79,3,1,,
Piso  en venta de 86 m2 en Esquerra Baixa de l´Eixample Barcelona,440.000 €,86,4,2,Sin plaza parking,
Piso gran oportunidad de tener vivienda propia !!! en Barcelona,110.000 €,55,3,1,Sin plaza parking,
Piso  en venta de 32 m2 en Barceloneta Barcelona,130.000 €,32,1,1,Sin plaza parking,
Piso Fort Pienc en Fort Pienc Barcelona,359.900 €,65,2,1,,
Piso  con 2 habitaciones y ascensor en El Coll Barcelona,315.000 €,1,2,315.000,,
Piso  para reforma integral en carrer de la boqueria en Barcelona,235.000 €,77,2,1,Sin plaza parking,
Piso en Vila de Gràcia Barcelona,1.740.000 €,383,6,2,,
Piso en carrer del molí gran en Prosperitat Barcelona,210.000 €,70,2,2,,
Piso  céntrico con inquilino en Raval Barcelona,129.000 €,60,2,1,Sin plaza parking,
Piso en carrer montcada cosi piso super silencioso ! en Barcelona,385.000 €,73,2,4,,
Loft oportunidad única!!! en Trinitat Nova Barcelona,135.000 €,115,1,1,,
"Piso  de lujo en venta en gótico, en Gòtic Barcelona",590.000 €,72,2,2,,
Piso confortable piso de obra nueva en el clot en Barcelona,435.100 €,95,3,2,,
Piso  con 2 habitaciones en Barceloneta Barcelona,295.000 €,83,2,2,,
Apartamento  de 4 dormitorios - 145.00 m2 en Barcelona,680.000 €,145,4,2,Sin plaza parking,
Piso  a reformar en St. Pere - Sta. Caterina - El Born Barcelona,380.000 €,70,2,2,,
Piso  con terraza en el clot en Glòries El Parc Barcelona,594.448 €,114,4,2,,
"Ático finca con rehabilitación de diseño zonas comunes, piso por rehabilitar o rehabilitado por 100.000€ más en Barcelona",430.000 €,74,3,1,,
Apartamento pisoen venta en horta - Guinardó en Guinardó Barcelona,210.000 €,66,3,1,,
Piso en carrer Sants piso al lado plaza Sants en Sants Barcelona,500.000 €,109,4,2,,
Piso estupendo piso de 3 habitaciones en el Raval (bn2-654) en Barcelona,239.000 €,75,3,2,,
Piso ideal inversión en Camp de l´Arpa Barcelona,166.000 €,50,2,1,Sin plaza parking,
Piso  con licéncia turística en venta en gracia en Barcelona,450.000 €,108,4,3,Sin plaza parking,
Piso en plaça tetuan espectacular piso en l´eixample en Barcelona,700.000 €,108,3,2,,
Planta baja  de 3 habitaciones Trinitat Vella en Barcelona,103.000 €,61,3,1,Sin plaza parking,
Piso en carrer travau precioso tercer piso soleado. solo particulares en Barcelona,155.000 €,60,3,1,,
Piso en st. quintin espectacular piso en hospital de st. pau en Barcelona,199.000 €,70,5,2,,
"Piso  en venta en les corts, en Esquerra Alta de l´Eixample Barcelona",450.000 €,79,3,1,,
Piso soleado piso todo exterior en Trinitat Vella Barcelona,87.000 €,48,2,1,Sin plaza parking,
Piso  en venta () concepcion arenal en Sant Andreu Barcelona,151.400 €,55,2,1,,
Chalet casa adosada en el centro de Sant Andreu en Barcelona,320.000 €,90,3,2,Sin plaza parking,
Piso en Carmel Barcelona,145.500 €,81,3,1,,
Piso solo inversores. nuda propiedad en Carmel Barcelona,165.000 €,89,3,2,,
Piso en Hostafrancs Barcelona,237.000 €,70,2,1,,
"Piso tercero con 2 habitaciones, ascensor, parking, calefacción y aire acondicionado en Barcelona",395.000 €,64,2,1,Plaza parking ,
Apartamento en St. Pere - Sta. Caterina - El Born Barcelona,525.000 €,80,2,2,Plaza parking ,
Piso impecable piso con mucho sol en Font de la Guatlla Barcelona,289.000 €,77,3,1,,
Ático  con terraza en Poblenou en Poblenou Barcelona,350.000 €,65,2,1,,
Piso immoble compost de pis de 122 m2 i apartament de 44 m2 situats al c/rosselló xamfrà amb c/calàbria. és una segona planta en bon estat de conservació. en Barcelona,675.000 €,166,4,3,,
Apartamento piso exterior de 3 habitaciones en Besòs - Maresme Barcelona,135.000 €,61,3,1,,
Piso segundo con 2 habitaciones en Carmel Barcelona,171.300 €,70,2,1,,
Piso en St. Pere - Sta. Caterina - El Born Barcelona,380.000 €,70,2,1,,
Piso en riera alta muy bien comunicado. en Raval Barcelona,410.000 €,85,3,1,,
Planta baja en carrer mare de deu de lorda planta baja de 116 m² totalmente reformado. en Barcelona,109.000 €,116,4,2,,
Piso  con ascensor y listo para entrar a vivir en Barcelona,185.000 €,80,3,1,Sin plaza parking,
Piso en travessera de gracia piso familiar para entrar a vivir en gracia en Barcelona,415.000 €,104,4,2,Sin plaza parking,
Piso  en finca señorial en Dreta de l´Eixample Barcelona,571.500 €,160,5,2,Sin plaza parking,
Piso  ideal para inversores en la sagrera en Navas Barcelona,165.000 €,62,3,1,,
Piso en Esquerra Alta de l´Eixample Barcelona,750.870 €,160,4,4,,
Piso en Sant Gervasi - Galvany Barcelona,1.150.000 €,255,6,4,Sin plaza parking,
Piso  con 4 habitaciones en Esquerra Alta de l´Eixample Barcelona,545.000 €,157,4,2,,
Piso oportunidad por metros y precio en Fort Pienc Barcelona,650.000 €,207,6,2,Sin plaza parking,
Piso  en venta de 57 m2 en Barceloneta Barcelona,238.000 €,57,2,1,Sin plaza parking,
Piso en Fort Pienc Barcelona,358.000 €,89,1,2,,
Piso  en venta en St. Pere - Sta. Caterina - El Born Barcelona,199.000 €,30,2,1,Sin plaza parking,
Piso  sant gervasio en Sant Gervasi - Bonanova Barcelona,320.000 €,75,2,1,Sin plaza parking,
Piso en carrer perez galdos precioso piso en el corazón de gracia en Barcelona,370.000 €,90,3,1,,
Casa adosada  con 5 habitaciones y terraza en Barcelona,399.900 €,185,5,1,Sin plaza parking,
Piso  de diseño a estrenar en venta en eixample dreta en Barcelona,528.000 €,105,2,2,Sin plaza parking,
Piso loft centrico y actual en Raval Barcelona,189.000 €,67,1,2.821,,
Casa  nueva a estrenar cerca de turó park en Tres Torres Barcelona,4.000.000 €,350,4,4,Plaza parking ,
Piso en carrer de la reina amàlia piso con 2 habitaciones en Barcelona,112.000 €,59,2,1,,
Piso obra nueva en camp de l'arpa en Camp de l´Arpa Barcelona,320.000 €,66,2,2,,
Piso ch19-bcna-pis(v)10 en Sant Antoni Barcelona,445.000 €,142,5,3,Sin plaza parking,
Piso dúplex con terraza en el terrado en el clot en Barcelona,365.000 €,80,2,2,,
Piso  con vistas al parque del clot en Glòries El Parc Barcelona,375.000 €,62,2,1,,
Piso dúplex con terraza en el terrado en el clot en Barcelona,360.000 €,75,2,2,,
Ático en carrer de valència la nova esquerra de l en Barcelona,530.000 €,96,3,1,,
Piso nou barris / via júlia en Verdun Barcelona,175.000 €,69,3,1,,
Piso  en riera alta en Raval Barcelona,340.000 €,109,4,2,,
Piso segundo con 4 habitaciones en Sant Ramon - Maternitat Barcelona,327.100 €,74,4,1,,
Piso en carrer sant bertran en Raval Barcelona,195.000 €,60,2,1,,
Piso  con terraza de obra nueva en el clot en Barcelona,415.000 €,64,2,1,,
Piso obra nueva en camp de l'arpa en Camp de l´Arpa Barcelona,365.000 €,74,2,2,,
"Piso  en venta totalmente reformado en poblesec, en Barcelona",345.000 €,64,2,2,,
Piso espacioso piso de obra nueva en el clot en Glòries El Parc Barcelona,470.000 €,102,3,2,,
Piso en carrer manuel de falla mucha luz natural y muy silencioso en Barcelona,445.000 €,87,4,1,Sin plaza parking,
Piso espacioso piso de obra nueva en el clot en Glòries El Parc Barcelona,496.128 €,103,3,2,,
Piso eixample 3 hab. en Sant Antoni Barcelona,310.000 €,85,3,1,Sin plaza parking,
"Ático  en venta en eixample esquerra, en Esquerra Alta de l´Eixample Barcelona",470.000 €,73,2,1,,
Apartamento precioso apartamento de 2 dormitorios con terra... en Barcelona,905.000 €,140,2,3,,
"Piso  de 4 hab, reformado+ balcon en Poblenou Barcelona",570.000 €,135,3,3,Sin plaza parking,
Piso  con 4 habitaciones con calefacción en Esquerra Baixa de l´Eixample Barcelona,486.000 €,105,4,2,,
"Piso apartamento reformado de 2 habitaciones en via laietana, el born en Barcelona",900.000 €,85,2,2,Sin plaza parking,
Piso 30% por debajo de su precio en Vallcarca - Penitents Barcelona,395.000 €,110,4,1,Sin plaza parking,
Piso  en zona céntrica a reformar en Esquerra Alta de l´Eixample Barcelona,550.000 €,73,2,2,Sin plaza parking,
Piso en murillo 0 en Poble Sec Barcelona,183.190 €,47,3,1,,
Piso en carrer estoril magnífica piso seminuevo en Barcelona,255.000 €,60,2,1,Plaza parking ,
Piso en Dreta de l´Eixample Barcelona,720.000 €,160,5,2,,
"Casa terreno para casa de lujo en venta en Pedralbes, en Barcelona",2.300.000 €,600,6,7,Plaza parking ,
Apartamento piso muy luminoso economico en Torre Baró Barcelona,117.500 €,81,3,1,Plaza parking ,
Piso alto+balcon tranquilo y luminoso en Diagonal Mar - La Mar Bella Barcelona,525.000 €,110,3,2,Plaza parking ,
Ático atico con posibilidades en Trinitat Vella Barcelona,95.000 €,43,3,1,,
Piso venta de piso (próximo a camp nou) en Badal Barcelona,197.000 €,52,3,2,,
Planta baja casa patio en carrer de vallirana en Putget - Farró Barcelona,735.000 €,150,3,3,,
Piso  con 3 habitaciones en Trinitat Nova Barcelona,140.000 €,68,3,1,,
Planta baja fantástico bajo de 3 habitaciones en Sant Andreu (bn1-578) en Barcelona,243.000 €,77,3,1,,
"Piso soy un piso a estrenar, con much en Esquerra Baixa de l´Eixample Barcelona",395.000 €,78,2,2,Sin plaza parking,
Piso  con reforma integral junto a sant antoni en Barcelona,228.000 €,50,2,1,,
"Piso  de lujo en venta en gótico, en Gòtic Barcelona",1.200.000 €,53,1,1,,
"Piso  de lujo en venta en gótico, en Gòtic Barcelona",1.200.000 €,51,1,1,,
Apartamento magnifico piso exterior en La Verneda - La Pau Barcelona,259.900 €,81,3,1,,
Piso en Sagrada Família Barcelona,435.000 €,80,4,2,,
Piso tercero en Poblenou Barcelona,204.600 €,37,1,1,,
Piso  en venta en Trinitat Vella en Trinitat Vella Barcelona,110.000 €,63,3,1,,
Piso tercero con 2 habitaciones en Roquetes Barcelona,95.500 €,42,2,1,,
Ático en carrer riera alta ático con dos terrazas privadas espectaculares en Barcelona,280.000 €,90,1,1,,
Apartamento bonito piso reformado en el born en St. Pere - Sta. Caterina - El Born Barcelona,315.000 €,55,1,1,,
Piso  con 3 habitaciones y aire acondicionado en Barcelona,190.400 €,70,3,1,,
Piso en gran via corts catalanes ideal inversor alquilar a estudiantes o familia en Barcelona,480.000 €,100,4,2,,
Casa exclusiva casa en Pedralbes con vistas a en Pedralbes Barcelona,6.900.000 €,656,5,7,Plaza parking ,
Piso junto al metro de l5 coll-la t en Taxonera Barcelona,189.000 €,65,3,1,,
"Piso  en venta en calle foradada, en Trinitat Vella Barcelona",129.000 €,66,2,1,,
