	CODI_VIA	TIPUS_VIA	NOM_OFICIAL	NOM_CURT	DESCRIPCION	FECHA_APROBACION	NOMBRES_ANTERIORES	DISTRICTOS
76	8501	C	Carrer d'Alfons XII	Alfons XII	(Madrid 1857 - 1885). Rey de España, hijo de Isabel II y de Francisco de Asís de Borbón. Fue exiliado en Francia al triunfar la Revolución de Septiembre de 1868. El 9 de enero de 1875 desembarcó en Barcelona de paso hacia Madrid, después del golpe de Estado de Sagunto (diciembre de 1874), derribó la República y se proclamó rey. Durante su reinado se puso fin a la guerra carlista (1876) y a la insurrección cubana (1878), y fue promulgada una nueva constitución (1876) mucho más moderada que la de 1869.	07/03/1939 ( )	Bélgica, 1931; Alfons XII, abans de 1879; Paloma (el tram inferior), abans de 1870; Colegio, 09/12/1874	SARRIÀ-SANT GERVASI (05)
77	8603	C	Carrer de Costa i Cuxart	Costa i Cuxart	Antoni Cebrià Costa i Cuxart (Valencia, Horta 1817 - Barcelona 1886). Botánico. Catedrático de botánica en la Universidad de Barcelona (1847).	26/02/1993 ( )	Antoni Costa i Cuxart; Alfons Aiguavives	NOU BARRIS (08)
78	8705	C	Carrer d'Alfons el Magnànim	Alfons el Magnànim	Alfonso IV de Cataluña, llamado el Magnánimo (1396 - Nápoles 1458). Rey de Cataluña y Aragón (1418-1458) y de Nápoles (1442-1458). Hijo de Fernando I y de Leonor de Alburquerque. Cuarenta años de reinado, de los cuales pasó veintiocho entre guerras y fiestas en Nápoles. La conquista de Nápoles aseguró el Reino de las Dos Sicilias.	27/07/1960 ( )	Alfonso el Magnánimo	SANT MARTÍ (10)
79	8807	Pl	Plaça d'Alfons el Savi	Pl Alfons el Savi	(Toledo 1221 - Sevilla 1284). Alfonso X, llamado el Sabio, rey de Castilla, hijo de Fernando III y de Beatriz, hija de Felipe, duque de Suabia. Yerno de Jaime I de Cataluña-Aragón. Estimuló, dirigió y corrigió personalmente los trabajos literarios de un numeroso grupo de colaboradores árabes, hebreos y cristianos, y dio un impulso definitivo a la prosa castellana. La obra jurídica de Alfons X supuso un hito en la evolución del antiguo derecho castellano.	27/05/1959 ( )	Alfonso el Sabio	HORTA-GUINARDÓ (07)
80	8909	C	Carrer dels Algarves	Algarves	Debe su nombre a los Algarbes, región sur de Portugal (Alto y Bajo Algarve). El nombre fue otorgado a la calle por tratarse de un título del rey de España. Este territorio fue incorporado al reino de Portugal por Alfonso III, en el año 1249, después de largas disputas con Castilla.	07/03/1939 ( )	Algarbes; Ginesta, 1931; Algarbes, 1927; Ginesta (Ajuntament de Sarrià), 1921; Solidaridad	SARRIÀ-SANT GERVASI (05)
81	9005	C	Carrer de l'Alguer	Alguer	Alghero, provincia de Sassari, municipio de Cerdeña. Población repoblada por catalanes en 1354, después de la expulsión de la población sarda. Se habla catalán.	29/03/1922 ( )	Bda. San Miguel	HORTA-GUINARDÓ (07)
82	9071	Ptge	Passatge del Violer	Ptge Violer	Debe su nombre al alhelí, la flor. Forma parte de un conjunto de calles con nombres de plantas y flores.	27/07/1990 ( )		SARRIÀ-SANT GERVASI (05)
83	9107	C	Carrer d'Alhucemas	Alhucemas	Islas Alhucemas, conjunto de tres islotes (peñón de Alhucemas, isla de Tierra e isla de Mar). Esta calle fue aprobada conjuntamente con la de Chafarinas. Ciudad en la bahía de Alhucemas. También recuerda la acción de guerra de las tropas españolas en Marruecos: desembarco realizado el 8 de septiembre de 1925 dirigido por el general Primo de Rivera, para asegurar la fortaleza de este nombre.	07/07/1942 ( )	Barriada (la Prosperitat)	NOU BARRIS (08)
84	9209	C	Carrer d'Alí Bei	Alí Bei	Domènec Badia i Leblich (Barcelona 1767 - Damasco 1818). Viajero y escritor. Explorador al servicio del gobierno de Carlos IV, disfrazado con el nombre árabe de Alí Bei-el-Abbasí y haciéndose pasar por descendiente del Profeta, recorrió Marruecos y otros reinos preparando proyectos de penetración y escribiendo los relatos de sus viajes y aventuras. La invasión francesa hizo que no pudiera llevar adelante su misión. Puesto al servicio del rey José fue nombrado gobernador de Segovia. Como afrancesado tuvo que emigrar y murió en Damasco.	19/12/1863 ( )	Alí-Bey; Lletra Q (Pla Cerdà)	EIXAMPLE (02)
85	9300	Ptge	Passatge d'Alí Bei	Ptge Alí Bei	Pasaje con entrada por la calle de Tànger, antes Alí-Bei.	 (Antes de 1925)	Alí-Bey	SANT MARTÍ (10)
86	9402	C	Carrer d'Alacant	Alacant	Debe su nombre a Alicante, municipio de L'Alacantí. Ciudad conquistada a los sarracenos por Jaime I en el año 1265, cedida a Alfonso X de Castilla y que Jaime II incorporó al reino de Cataluña-Aragón en el año 1296.	05/09/1907 ( )	Alicante; San Pablo, 06/09/1875	SARRIÀ-SANT GERVASI (05)
87	9457	C	Carrer d'Alighieri	Alighieri	Iacopo Alighieri di Manetto (Florencia 1291 - 1348). Poeta italiano hijo de Dante. Acompañó a su padre en el exilio hasta 1325, en el que volvió a Florencia. Es autor del primer resumen, en tercetos, de la <i>Divina Comedia</i> (1322). Como la calle estaba cerca de la de Dante se puso el nombre de Alighieri, pensando en el mismo personaje.	19/11/1929 ( )	Dante (desviació)	HORTA-GUINARDÓ (07)
88	9606	Ptge	Passatge d'Alió	Ptge Alió	Francesc Alió i Brea (Barcelona 1862 - 1908). Compositor. Uno de los iniciadores del renacimiento musical catalán. Este pasaje, situado en el antiguo paraje de Caputxins vells de Gràcia, fue propiedad de Romano de Grassot i Elías, de aquí el antiguo nombre de pasaje Román, hasta que fue sustituido por el de Alió.	29/03/1922 ( )	Román, 30/10/1879	GRÀCIA (06)
89	9708	C	Carrer dels Magatzems	Magatzems	En recuerdo de los antiguos almacenes o depósitos del puerto en los que se depositaban temporalmente los géneros cuya entrada, por alguna circunstancia, no podía ser autorizada por no cumplir la normativa exigida por la Aduana.		Almacenes	CIUTAT VELLA (01)
90	9800	C	Carrer d'Almagro	Almagro	Diego de Almagro (Almagro, Ciudad Real 1475 - Cusco 1538). Militar castellano, conquistador de Perú y Chile.	31/10/1955 ( )		NOU BARRIS (08)
91	9901	C	Carrer d'Almansa	Almansa	Debe su nombre a Almansa, ciudad de Castilla-La Mancha. Batalla librada el 25 de abril de 1707 entre las tropas de Felipe V de Borbón y las fuerzas del archiduque de Austria (Guerra de Sucesión). Pérdida de la estructura política de los Países Catalanes y abolición del Consejo de Aragón (29 de junio de 1707).	31/10/1955 ( )	T. de la Fuente Cañellas (un tram)	NOU BARRIS (08)
92	10004	Cro	Carreró de les Ànimes	Cro Ànimes	En tiempos pasados había en el lugar un cementerio de animales o carnero, por lo que en las noches de verano se producían fuegos duendes que el pueblo interpretaba que eran almas que se aparecían a los mortales.		Almas; Ctra. Antigua de Madrid	SANTS-MONTJUÏC (03)
93	10106	C	Carrer d'Almassora	Almassora	Debe su nombre a Almazora, municipio de La Plana Alta.	27/07/1950 ( )	Almazora	SANT ANDREU (09)
94	10208	C	Carrer d'Almenara Alta	Almenara Alta	Ducado concedido por Fernando VII, el 24 de enero de 1830, a Joan Antoni Clasquerí, antes Fivaller i Bru. Los duques Almenara Alta serían propietarios de los terrenos del lugar, linderos con los de Carles de Puiggener Orís i Descatllar.			SANT MARTÍ (10)
95	10300	C	Carrer dels Ametllers	Ametllers	Debe su nombre al almendro, el árbol. Calle que forma conjunto con la de los Avellaners y la de las Nogueres.	30/07/1954 ( )	Almendros	LES CORTS (04)
96	10401	Ptge	Passatge dels Ametllers	Ptge Ametllers	Pasaje que atraviesa perpendicularmente la calle del mismo nombre.	30/07/1954 ( )	Almendros	LES CORTS (04)
97	10503	C	Carrer d'Almeria	Almeria	Debe su nombre a Almeria, ciudad de Andalucía oriental, puerto del Mediterráneo. En el siglo VIII era centro de comercio entre Al-Andalus, África y Oriente. Fue capital de uno de los antiguos reinos de Al-Andalus durante la dominación musulmana. Fue atacada en 892 por el conde Suñer II de Ampurias con 15 naves, y consiguió un acuerdo comercial. En 1147 fue conquistada por el conde de Barcelona Ramón Berenguer IV. Recuperada por los árabes, en el año 1489 se rindió a los Reyes Católicos, que la incorporaron a su corona.	29/03/1922 ( )	Paz	SANTS-MONTJUÏC (03)
98	10707	C	Carrer d'Emília Llorca Martín	Emília Llorca	Rafael Aixada (siglo XVI). Natural de Sant Feliu de Guíxols (Baix Empordà). Teniente general de las galeras del emperador Carlos I. Fue notable su actuación en el Alguer, salvó al rey de grave peligro, durante la derrota de las tropas españolas que asaltaron la plaza el 13 de octubre de 1541, con doscientas naves y veinte mil hombres.	16/08/1927 ( )	Almirante Aixada; Almirante Aixada, 16/08/1927; Andalucía, 1927; Concòrdia, abans de 1865	CIUTAT VELLA (01)
99	10809	C	Carrer de l'Almirall Barceló	Almirall Barceló	Antoni Barceló i Pont de la Terra (Ciudad de Mallorca 1716 - 1797). Teniente general de la Armada. Sus hazañas más notables fueron la derrota naval del pirata Selim, a quien hizo prisionero (1763); las acciones contra Alger (1755 y 1783); los bloqueos navales de Gibraltar (1779 y 1781) y la expedición marítima de 1783 contra el sultán de Marruecos, a quien obligó a levantar el asedio de Ceuta.	19/08/1947 ( )	Barceló, abans de 1865	CIUTAT VELLA (01)
100	10900	C	Carrer de Pepe Rubianes	Pepe Rubianes	José Rubianes Alegret (Vilagarcía de Arousa, 1947 - Barcelona, 2009), más conocido como Pepe Rubianes. Actor y director humorístico. Sus inicios artísticos fueron en las compañías Dagoll Dagom y Els Joglars, hasta que en 1981 emprendió su carrera en solitario, en la que se especializó en monólogos humorísticos, cargados de ironía, lo que lo convirtió en un personaje muy popular. Algunos de sus espectáculos fueron Pay-Pay, Ño, Sin palabras, En resumidas cuentas, Sscum! o Rubianes, solamente. Siempre se definió como actor galaico-catalán. Durante su vida estuvo estrechamente vinculado a Ciutat Vella, donde vivió en los barrios del Gòtic, el Raval y la Barceloneta.	26/01/2018 ( )	Almirant Cervera; Alfredo Calderón; San Juan	CIUTAT VELLA (01)
101	10955	C	Carrer de l'Almirall Okendo	Almirall Okendo	Antonio de Okendo (Donostia 1577 - La Coruña 1640). Marino vasco. Después de ser comandante general de la escuadra de Cantabria, fue nombrado general de la flota de Nueva España y, en el año 1623, almirante general de la armada del Océano. Felipe IV, en 1631, lo premió con el título de consejero de guerra. También fue famoso marino Mikel de Okendo, padre del anterior. En 1587, Felipe II le encargó el mando de la escuadra de Guipúzcoa que tuvo que añadirse a la famosa Armada Invencible, bajo el mando del duque de Medina-Sidonia. Este apellido procede de un topónimo (Valle de Okendo) y conserva la grafía vasca.		Almirante Oquendo	SANT ANDREU (09)
102	11007	C	Carrer de l'Almirall Pròixida	Almirall Pròixida	Olf de Pròixida (siglo XIV). Noble valenciano, militar y marino, proveniente de la familia Procida siciliana.	19/11/1929 ( )	Núm. 2 (eixample de Sant Andreu)	SANT ANDREU (09)
103	11109	C	Carrer de l'Almirall Churruca	Almirall Churruca	Cosme Damián Churruca y Elorza (Motriku, Guipúzcoa 1761 - Batalla de Trafalgar 1805). Militar y cartógrafo. Participó en el asedio de Gibraltar (1781-1783), emprendió diversas expediciones marítimas de las que escribió interesantes relatos técnicos y geográficos. Colaboró en la realización del atlas marítimo de Sudamérica.	07/07/1942 ( )	Almirante Churruca; Meer (un tram); Santa Eulàlia	CIUTAT VELLA (01)
104	11200	C	Carrer dels Almogàvers	Almogàvers	Guerreros de oficio (datan del siglo XIII). La expedición de los almogávares a Oriente, con Roger de Flor, consiguió el dominio catalán de parte de Grecia durante casi un siglo (1311-1388).	 (Antes de 1900)	Las Glorias Catalanas (un tram); Lletra S (Pla Cerdà), 19/12/1863	CIUTAT VELLA (01) EIXAMPLE (02) SANT MARTÍ (10)
105	11302	C	Carrer d'Alonso Cano	Alonso Cano	Alonso Cano (Granada 1601 - 1667). Escultor, pintor y arquitecto barroco. En 1638 se trasladó a Madrid donde recibió la influencia de la pintura veneciana de las colecciones reales.	28/01/1959 ( )		NOU BARRIS (08)
106	11404	Ptge	Passatge d'Aloi	Ptge Aloi	En memoria de Jaume Aloy i Romaní (1836 - 1898), azulejero, propietario de los terrenos. Casado con Antònia Robert i Soteras. Este antropotopónimo, de acuerdo con el Decreto 78/1991 sobre el uso de la toponimia, fue normalizado junto con los demás topónimos de la ciudad.		Aloy	SANT ANDREU (09)
107	11506	C	Carrer d'Alpens	Alpens	Debe su nombre a Alpens, municipio de Osona. Batalla en la cual el brigadier Cabrinetty fue derrotado por el ejército carlista.	31/01/1923 ( )	Crillón (un tram); Pasteur; Padilla	SANTS-MONTJUÏC (03)
108	11583	C	Carrer d'Alsàcia	Alsàcia	Debe su nombre a Alsacia, región de Francia. Calle aprobada junto con la de Lorena y Marne.	 ( )		NOU BARRIS (08)
109	11608	C	Carrer de n'Alsina	Alsina	Apellido de familia catalana, muy extendida por la ciudad medieval, probablemente relacionada con la apertura de la calle, o con propiedades situadas en el lugar. La calle ya existía con el mismo nombre en el siglo XV. Existe una versión que nos dice que se debía a una encina plantada en un jardín que daba a la calle.	 ( )		CIUTAT VELLA (01)
110	11732	Ptge	Passatge Alt del Turó	Ptge Alt del Turó	Situado junto con el medio (mig) y el bajo (baix) del Turó, en una zona elevada en el sudeste del parque del Guinardó.	 ( )		HORTA-GUINARDÓ (07)
111	11776	C	Carrer Alt	Alt	En la parte alta de la barriada de Trinitat Vella.	07/03/1939 ( )	Alta	SANT ANDREU (09)
112	11801	Pl	Plaça Alta de Can Clos	Pl Alta Can Clos	Situada en el centro del polígono de casas de Can Clos.	23/06/1965 ( )		SANTS-MONTJUÏC (03)
113	11903	C	Carrer Alt de Gironella	Alt de Gironella	Nombre proveniente de la antigua torre, con oratorio público, y finca de una extensión de 14 mujadas, que fue propiedad de la familia Gironella.		Alta de Gironella	SARRIÀ-SANT GERVASI (05)
114	12000	C	Carrer Alt de Mariner	Alt de Mariner	Toponímico, con el añadido del apellido del propietario, que lo fue de gran parte de Horta. Masía Alta d'en Mariné.	28/01/1959 ( )	Alta de Mariné	HORTA-GUINARDÓ (07)
115	12101	Ptge	Passatge Alt de Mariner	Ptge Alt Mariner	Por desembocar en la calle del mismo nombre.	28/01/1959 ( )	Alta de Mariné	HORTA-GUINARDÓ (07)
116	12203	C	Carrer Alt de Pedrell	Alt de Pedrell	Vial situado en la parte alta de la colina donde se encuentra la calle de Pedrell.		Alta de Pedrell; Pedrell	HORTA-GUINARDÓ (07)
117	12305	Ctra	Carretera Alta de les Roquetes	Ctra Alta Roquetes	Vial de enlace del polígono de Canyelles con la torre del Baró. Adopta el nombre del barrio que la rodea por la parte de montaña.	 ( )	Alta de Circunvalación	HORTA-GUINARDÓ (07) NOU BARRIS (08)
118	12407	C	Carrer de Sant Pere Més Alt	Sant Pere Més Alt	Vía que según la tradición siguió Luis el Piadoso, con motivo de la conquista de Barcelona a los sarracenos, para ir en acción de gracias a la iglesia de la Santa Cruz, situada en el lugar ocupado posteriormente por el convento de San Pedro de les Puelles.		Alta de San Pedro	CIUTAT VELLA (01)
119	12509	C	Carrer d'Altafulla	Altafulla	Debe su nombre a Altafulla, municipio del Tarragonès.	05/09/1907 ( )	Cruz	SANTS-MONTJUÏC (03)
120	12600	C	Carrer dels Alts Forns	Alts Forns	En el Plan parcial de Gran Via sur, constan numerosos nombres de calles dedicadas a la industria. Debe tenerse en cuenta que dicho Plan creaba gran cantidad de suelo de uso industrial, de aquí el motivo de la dedicación.	12/03/1962 ( )	Altos Hornos; Pegaso; Hogar	SANTS-MONTJUÏC (03)
121	12702	C	Carrer de l'Alumini	Alumini	La dedicación de esta calle corresponde al sector industrial en el que se encuentra ubicado.	10/05/2005 ( )	Aluminio	SANTS-MONTJUÏC (03)
122	12804	C	Carrer d'Alvarado	Alvarado	Pedro de Alvarado (Badajoz, Extremadura 1485 - Méjico 1541). Conquistador castellano, capitán de Hernán Cortés. Sometió la zona de Guatemala y El Salvador (1523-1524), y le concedieron la gobernación de Guatemala. Murió en un combate de represión de los habitantes de Jalisco.	31/10/1955 ( )	Cº Viejo de la Pedrera (un tram)	NOU BARRIS (08)
123	12859	Pg	Passeig de l'Agrícola	Pg Agrícola	En recuerdo de la Sociedad Agrícola que saneó las tierras pantanosas del lugar.	12/06/1980 ( )	Álvarez de la Campa, 1960; Agrícola, 26/05/1925; Cº de la Agrícola, abans de 1925	SANTS-MONTJUÏC (03)
124	12906	C	Carrer d'Allada-Vermell	Allada-Vermell	Nombre compuesto por haberse juntado las dos calles al desaparecer la manzana de casas que los separaba. Allada: salsa o picada de ajos. Se desconoce el motivo del nombre, que ya sale en documentos del siglo XV. El sufijo -ada hace pensar que <i>allada</i> podría ser un campo de ajos. Rojo: una versión nos dice que el nombre viene de las sustancias de color rojo que utilizaban los curtidores establecidos en la próxima acequia (rec) Comtal.	10/03/1995 ( )	Rovira; Cortines	CIUTAT VELLA (01)
125	13002	C	Carrer d'Alloza	Alloza	Salvador Alloza i Alloza (Barcelona 1897 - 1976). Cartero del barrio. Hacia el año 1930, Alloza era cartero del barrio, en aquella época lleno de campos, pocas masías y algún grupo de casas. Para facilitar la localización, el cartero hizo que la correspondencia que se dirigía al lugar se identificara con su apellido, Alloza. El barrio se fue poblando y durante un buen tiempo estuvo colgado de un clavo en esta calle del barrio un letrero de madera con el nombre de Alloza. Con el tiempo el nombre se hizo oficial.	 ( )		NOU BARRIS (08)
