name,ISIN,Ticker,Fund CCY,Fund size [M],TER in % p.a.,1Y in %,3Y in %,5Y in %,2020 in %,2019 in %,2018 in %,2017 in %
BNP Paribas Easy MSCI Emerging Markets SRI S-Series 5% Capped UCITS ETF EUR Dis,LU1659681313,EISR,EUR,102,0.45%,50.52%,24.07%,-,9.38%,14.61%,-6.01%,-
BNP Paribas Easy MSCI Emerging Markets SRI S-Series 5% Capped UCITS ETF USD Acc,LU1291098314,EMSR,USD,242,0.45%,51.24%,24.28%,-,9.15%,14.70%,-6.19%,16.24
BNP Paribas Easy MSCI EMU ex Controversial Weapons UCITS ETF,LU1291098827,EEMU,EUR,121,0.25%,42.60%,22.65%,56.67%,-1.12%,25.94%,-12.97%,13.31
BNP Paribas Easy MSCI EMU SRI S-Series 5% Capped UCITS ETF,LU1953137681,MUSRI,EUR,156,0.30%,39.88%,-,-,1.40%,-,-,-
BNP Paribas Easy MSCI Europe ex Controversial Weapons UCITS ETF,LU1291099718,EEUE,EUR,52,0.25%,34.81%,24.36%,49.14%,-3.23%,26.38%,-10.56%,10.23
BNP Paribas Easy MSCI Europe ex UK ex Controversial Weapons UCITS ETF,LU1291100664,EEXU,EUR,5,0.25%,37.90%,31.55%,66.14%,1.85%,28.32%,-11.16%,15.83
BNP Paribas Easy MSCI Europe Small Caps SRI S-Series 5% Capped UCITS ETF,LU1291101555,EESM,EUR,81,0.25%,53.98%,29.53%,64.53%,3.79%,31.55%,-15.64%,19.17
BNP Paribas Easy MSCI Europe SRI S-Series 5% Capped UCITS ETF EUR Dis,LU1753045415,SRIE,EUR,810,0.30%,37.81%,40.12%,-,4.57%,28.80%,-,-
BNP Paribas Easy MSCI Japan ex Controversial Weapons UCITS ETF EUR Hedged,LU1481203070,EJAH,EURHedged,51,0.25%,38.76%,20.43%,-,7.58%,17.32%,-16.57%,-
BNP Paribas Easy MSCI Japan ex Controversial Weapons UCITS ETF-CAP,LU1291102447,EJAP,EUR,98,0.25%,27.17%,25.38%,59.41%,4.89%,21.62%,-8.78%,8.68
BNP Paribas Easy MSCI Japan SRI S-Series 5% Capped UCITS ETF EUR Dis,LU1753045928,SRIJ,EUR,267,0.30%,21.28%,28.92%,-,9.37%,25.39%,-,-
BNP Paribas Easy MSCI North America ex Controversial Weapons UCITS ETF,LU1291104575,ENAM,EUR,43,0.25%,40.18%,69.62%,103.97%,10.22%,32.96%,-1.32%,5.69
BNP Paribas Easy MSCI Pacific ex Japan ex Controversial Weapons UCITS ETF,LU1291106356,EPEJ,EUR,74,0.25%,38.26%,28.68%,58.61%,-2.40%,20.36%,-5.95%,10.22
BNP Paribas Easy MSCI USA SRI S-Series 5% Capped UCITS ETF EUR Dis,LU1659681669,EKUS,EUR,368,0.30%,41.42%,80.30%,-,17.30%,32.91%,0.46%,-
BNP Paribas Easy MSCI USA SRI S-Series 5% Capped UCITS ETF USD Acc,LU1291103338,EKLD,USD,259,0.30%,41.77%,80.26%,114.67%,17.10%,33.04%,0.13%,5.93
BNP Paribas Easy MSCI World SRI S-Series 5% Capped UCITS ETF EUR Acc,LU1615092217,EMWE,EUR,222,0.25%,38.10%,59.81%,-,12.96%,29.84%,-5.12%,-
BNP Paribas Easy MSCI World SRI S-Series 5% Capped UCITS ETF USD Acc,LU1291108642,EWRD,USD,6,0.25%,38.60%,59.74%,91.99%,12.72%,29.97%,-5.38%,7.63
BNP Paribas Easy S&P 500 UCITS ETF,FR0011550680,ESDD,USD,105,0.15%,38.49%,96.03%,202.37%,8.39%,34.00%,14.64%,19.66
BNP Paribas Easy S&P 500 UCITS ETF EUR,FR0011550185,ESE,EUR,899,0.15%,37.98%,71.04%,110.78%,8.62%,33.83%,0.40%,6.94
BNP Paribas Easy S&P 500 UCITS ETF EUR Hedged,FR0013041530,ESEH,EURHedged,377,0.15%,49.73%,55.59%,97.87%,17.20%,27.43%,-7.38%,19.30
BNP Paribas Easy S&P 500 UCITS ETF USD,FR0011550177,ESD,USD,"2,067",0.15%,38.53%,71.13%,110.56%,8.38%,33.92%,0.12%,7.09
BNP Paribas Easy STOXX Europe 600 UCITS ETF,FR0011550193,ETZ,EUR,755,0.20%,36.82%,27.28%,51.90%,-1.57%,27.51%,-10.74%,11.16
BNP Paribas Easy STOXX Europe 600 UCITS ETF,FR0011550672,ETZD,EUR,92,0.20%,36.73%,41.29%,103.02%,-1.56%,27.44%,-0.73%,20.78
CSIF (IE) FTSE EPRA Nareit Developed Green Blue UCITS ETF B USD,IE00BMDX0K95,CSYZ,USD,138,0.25%,-,-,-,-,-,-,-
CSIF (IE) MSCI USA Blue UCITS ETF B USD,IE00BJBYDR19,CSY1,USD,"2,472",0.09%,40.65%,-,-,-,-,-,-
CSIF (IE) MSCI USA ESG Leaders Blue UCITS ETF B USD,IE00BJBYDP94,CSY2,USD,"1,394",0.10%,37.00%,-,-,-,-,-,-
CSIF (IE) MSCI USA Small Cap ESG Leaders Blue UCITS ETF B USD,IE00BMDX0L03,CSY8,USD,247,0.20%,-,-,-,-,-,-,-
CSIF (IE) MSCI World ESG Leaders Blue UCITS ETF B USD,IE00BJBYDQ02,CSY5,USD,659,0.15%,36.19%,-,-,-,-,-,-
CSIF (IE) MSCI World ESG Leaders Blue UCITS ETF BH EUR,IE00BKKFT300,CSY7,EURHedged,95,0.18%,43.49%,-,-,-,-,-,-
CSIF (IE) MSCI World ESG Leaders Minimum Volatility Blue UCITS ETF B USD,IE00BMDX0M10,CSY9,USD,178,0.25%,-,-,-,-,-,-,-
Deka DAX (ausschüttend) UCITS ETF,DE000ETFL060,EL4F,EUR,959,0.15%,45.76%,22.00%,54.63%,2.79%,24.79%,-18.63%,12.33
Deka DAX ex Financials 30 UCITS ETF,DE000ETFL433,ELF0,EUR,25,0.30%,52.95%,21.26%,51.82%,5.05%,23.77%,-20.23%,10.93
Deka DAX UCITS ETF,DE000ETFL011,EL4A,EUR,"1,084",0.15%,46.23%,22.18%,54.83%,3.23%,24.87%,-18.69%,12.35
Deka DAXplus Maximum Dividend UCITS ETF,DE000ETFL235,EL4X,EUR,395,0.30%,53.81%,1.37%,12.72%,-2.96%,11.64%,-18.87%,5.67
Deka Deutsche Boerse EUROGOV France UCITS ETF,DE000ETFL425,EFQ2,EUR,15,0.15%,0.82%,2.36%,2.27%,1.28%,1.74%,0.32%,0.02
Deka Deutsche Boerse EUROGOV Germany 1-3 UCITS ETF,DE000ETFL185,EL4S,EUR,244,0.15%,-0.82%,-2.25%,-3.55%,-0.79%,-0.84%,-0.53%,-1.09
Deka Deutsche Boerse EUROGOV Germany 10+ UCITS ETF,DE000ETFL219,EL4V,EUR,41,0.15%,-1.67%,16.88%,13.03%,7.96%,9.38%,6.09%,-2.68
Deka Deutsche Boerse EUROGOV Germany 3-5 UCITS ETF,DE000ETFL193,EL4T,EUR,60,0.15%,-0.41%,0.02%,-0.94%,-0.07%,-0.16%,0.42%,-1.22
Deka Deutsche Boerse EUROGOV Germany 5-10 UCITS ETF,DE000ETFL201,EL4U,EUR,132,0.15%,0.06%,5.27%,4.03%,1.87%,2.31%,2.00%,-1.09
Deka Deutsche Boerse EUROGOV Germany Money Market UCITS ETF,DE000ETFL227,EL4W,EUR,48,0.12%,-0.76%,-2.47%,-4.21%,-0.82%,-0.82%,-0.87%,-1.08
Deka Deutsche Boerse EUROGOV Germany UCITS ETF,DE000ETFL177,EL4R,EUR,152,0.15%,-0.12%,2.18%,1.11%,0.94%,0.97%,0.98%,-0.95
Deka Euro Corporates 0-3 Liquid UCITS ETF,DE000ETFL532,ELFF,EUR,69,0.16%,2.72%,-,-,0.23%,-,-,-
Deka Euro iSTOXX ex Fin Dividend Plus UCITS ETF,DE000ETFL482,ELFC,EUR,359,0.30%,41.50%,21.43%,46.97%,-7.03%,19.82%,-3.93%,5.72
Deka EURO STOXX 50 (thesaurierend) UCITS ETF,DE000ETFL466,ELFA,EUR,31,0.15%,40.54%,25.25%,56.46%,-3.77%,30.02%,-11.93%,9.70
Deka EURO STOXX 50 UCITS ETF,DE000ETFL029,EL4B,EUR,"1,042",0.15%,42.40%,27.02%,59.38%,-2.92%,30.06%,-11.62%,9.89
Deka EURO STOXX Select Dividend 30 UCITS ETF,DE000ETFL078,EL4G,EUR,210,0.30%,50.29%,5.20%,32.56%,-18.03%,22.67%,-11.20%,9.26
Deka Eurozone Rendite Plus 1-10 UCITS ETF,DE000ETFL490,ELFD,EUR,42,0.15%,4.13%,5.65%,6.86%,3.28%,3.61%,-0.05%,0.28
Deka Germany 30 UCITS ETF,DE000ETFL516,ELFG,EUR,40,0.09%,45.66%,-,-,1.49%,-,-,-
Deka iBoxx EUR Liquid Corporates Diversified UCITS ETF,DE000ETFL375,EL49,EUR,332,0.20%,7.38%,6.38%,8.24%,1.80%,5.93%,-1.47%,1.28
Deka iBoxx EUR Liquid Germany Covered Diversified UCITS ETF,DE000ETFL359,EL48,EUR,85,0.09%,1.44%,4.06%,3.30%,1.63%,2.54%,0.36%,-0.10
Deka iBoxx EUR Liquid Non-Financials Diversified UCITS ETF,DE000ETFL383,EFQ8,EUR,325,0.20%,10.79%,8.05%,9.46%,2.81%,7.47%,-2.10%,1.38
Deka iBoxx EUR Liquid Sovereign Diversified 1-10 UCITS ETF,DE000ETFL110,EL4K,EUR,63,0.15%,3.22%,7.78%,8.94%,3.36%,5.21%,1.02%,0.37
Deka iBoxx EUR Liquid Sovereign Diversified 1-3 UCITS ETF,DE000ETFL128,EL4L,EUR,130,0.15%,0.41%,-0.24%,-0.51%,-0.03%,0.23%,-0.07%,-0.50
Deka iBoxx EUR Liquid Sovereign Diversified 10+ UCITS ETF,DE000ETFL169,EL4Q,EUR,21,0.15%,6.28%,24.25%,27.02%,13.05%,19.90%,1.98%,-0.71
Deka iBoxx EUR Liquid Sovereign Diversified 3-5 UCITS ETF,DE000ETFL136,EL4M,EUR,35,0.15%,1.79%,2.30%,2.76%,1.13%,1.78%,0.15%,-0.15
Deka iBoxx EUR Liquid Sovereign Diversified 5-7 UCITS ETF,DE000ETFL144,EL4N,EUR,172,0.15%,3.42%,6.61%,8.04%,3.23%,4.27%,0.63%,0.56
Deka iBoxx EUR Liquid Sovereign Diversified 7-10 UCITS ETF,DE000ETFL151,EL4P,EUR,113,0.15%,4.02%,10.30%,12.59%,4.33%,7.02%,1.34%,0.88
Deka MDAX UCITS ETF,DE000ETFL441,ELF1,EUR,711,0.30%,49.70%,25.20%,58.01%,8.92%,30.34%,-18.11%,17.67
Deka MSCI China UCITS ETF,DE000ETFL326,EL46,HKD,148,0.65%,30.53%,31.70%,100.41%,13.79%,27.80%,-16.00%,34.28
Deka MSCI Emerging Markets UCITS ETF,DE000ETFL342,EL40,USD,58,0.65%,42.44%,24.32%,67.70%,5.64%,21.42%,-11.84%,19.47
Deka MSCI EMU Climate Change ESG UCITS ETF,DE000ETFL557,D6RS,EUR,192,0.20%,-,-,-,-,-,-,-
Deka MSCI Europe Climate Change ESG UCITS ETF,DE000ETFL565,D6RR,EUR,125,0.25%,-,-,-,-,-,-,-
Deka MSCI Europe ex EMU UCITS ETF,DE000ETFL458,ELF5,EUR,38,0.30%,26.88%,25.26%,40.47%,-6.32%,27.47%,-8.87%,7.77
Deka MSCI Europe Large Cap UCITS ETF,DE000ETFL086,EL4H,EUR,37,0.31%,31.35%,22.00%,45.85%,-5.14%,26.06%,-9.78%,9.12
Deka MSCI Europe MC UCITS ETF,DE000ETFL292,EL43,EUR,14,0.30%,47.70%,32.41%,58.84%,4.37%,31.23%,-13.52%,14.28
Deka MSCI Europe UCITS ETF,DE000ETFL284,EL42,EUR,383,0.30%,34.66%,23.88%,48.35%,-3.35%,27.22%,-10.80%,10.29
Deka MSCI Germany Climate Change ESG UCITS ETF,DE000ETFL540,D6RT,EUR,207,0.20%,-,-,-,-,-,-,-
Deka MSCI Japan Large Cap UCITS ETF,DE000ETFL102,EL4J,JPY,7,0.50%,25.87%,26.65%,60.42%,6.37%,22.75%,-8.86%,8.25
Deka MSCI Japan MC UCITS ETF,DE000ETFL318,EL45,EUR,74,0.25%,26.30%,14.16%,41.32%,-0.53%,18.82%,-11.73%,9.96
Deka MSCI Japan UCITS ETF,DE000ETFL300,EL44,JPY,107,0.50%,26.54%,24.57%,57.06%,4.89%,21.84%,-9.46%,8.85
Deka MSCI USA Climate Change ESG UCITS ETF,DE000ETFL573,D6RQ,EUR,570,0.25%,-,-,-,-,-,-,-
Deka MSCI USA Large Cap UCITS ETF,DE000ETFL094,EL4I,USD,73,0.30%,37.90%,69.81%,106.53%,9.18%,35.00%,-1.09%,6.48
Deka MSCI USA MC UCITS ETF,DE000ETFL276,EL41,USD,27,0.30%,52.62%,59.09%,94.05%,8.66%,33.97%,-6.91%,4.72
Deka MSCI USA UCITS ETF,DE000ETFL268,EL4Z,USD,348,0.30%,39.89%,68.27%,104.62%,9.12%,34.84%,-1.97%,6.18
Deka MSCI World Climate Change ESG UCITS ETF,DE000ETFL581,D6RP,EUR,75,0.25%,-,-,-,-,-,-,-
Deka MSCI World UCITS ETF,DE000ETFL508,ELFW,EUR,587,0.31%,38.05%,-,-,5.41%,31.16%,-,-
Deka Oekom Euro Nachhaltigkeit UCITS ETF,DE000ETFL474,ELFB,EUR,87,0.41%,54.12%,22.81%,60.21%,-2.71%,29.48%,-17.22%,10.93
Deka STOXX Europe 50 UCITS ETF,DE000ETFL250,EL4Y,EUR,40,0.19%,24.80%,22.80%,43.68%,-6.26%,28.26%,-10.10%,9.00
Deka STOXX Europe Strong Growth 20 UCITS ETF,DE000ETFL037,EL4C,EUR,296,0.65%,50.01%,72.72%,138.72%,25.03%,47.69%,-4.57%,21.64
Deka STOXX Europe Strong Style Composite 40 UCITS ETF,DE000ETFL052,EL4E,EUR,26,0.65%,61.60%,56.44%,111.13%,14.66%,31.39%,-6.24%,15.55
Deka STOXX Europe Strong Value 20 UCITS ETF,DE000ETFL045,EL4D,EUR,44,0.66%,66.04%,32.76%,74.50%,0.29%,18.13%,-9.54%,9.71
Deka US Treasury 7-10 UCITS ETF,DE000ETFL524,ELFE,USD,220,0.07%,-12.90%,-,-,-0.07%,-,-,-
EUWAX Gold,DE000EWG0LD1,-,EUR,423,0.00%,-3.01%,34.85%,34.40%,12.65%,23.02%,2.84%,-1.25
EUWAX Gold II,DE000EWG2LD7,-,EUR,581,0.00%,-3.62%,37.35%,-,13.74%,23.20%,3.22%,-
Fidelity Emerging Markets Quality Income UCITS ETF,IE00BYSX4739,FEME,USD,45,0.50%,45.86%,-,-,3.77%,-,-,-
Fidelity Emerging Markets Quality Income UCITS ETF,IE00BYSX4846,FEMI,USD,84,0.50%,45.65%,25.74%,-,3.73%,21.11%,-10.16%,-
Fidelity Europe Quality Income UCITS ETF,IE00BYSX4176,-,EUR,14,0.30%,32.49%,-,-,-2.78%,-,-,-
Fidelity Europe Quality Income UCITS ETF,IE00BYSX4283,FEQD,EUR,5,0.30%,32.35%,30.69%,-,-2.41%,28.76%,-8.50%,-
Fidelity Global Quality Income UCITS ETF,IE00BYXVGZ48,FGQI,USD,245,0.40%,34.53%,49.93%,-,0.67%,31.28%,-3.03%,-
Fidelity Global Quality Income UCITS ETF (EUR Hedged),IE00BYV1YH46,FGEU,EURHedged,33,0.45%,42.28%,39.68%,-,6.50%,25.43%,-7.87%,-
Fidelity US Quality Income UCITS ETF,IE00BYXVGX24,FUSD,USD,327,0.25%,34.46%,63.29%,-,2.78%,34.21%,0.78%,-
Fidelity US Quality Income UCITS ETF Acc,IE00BYXVGY31,FUSA,USD,246,0.25%,34.53%,63.12%,-,2.76%,34.23%,0.83%,-
Fidelity US Quality Income UCITS ETF Acc (EUR Hedged),IE00BYV1Y969,FUSU,EURHedged,2,0.30%,45.47%,47.50%,-,9.89%,27.48%,-6.56%,-
First Trust Cloud Computing UCITS ETF Acc,IE00BFD2H405,SKYU,USD,538,0.60%,63.77%,-,-,44.32%,-,-,-
First Trust Emerging Markets AlphaDEX UCITS ETF Acc,IE00B8X9NX34,FEM,USD,31,0.80%,37.34%,6.39%,57.76%,-9.21%,21.38%,-11.62%,22.44
First Trust Eurozone AlphaDEX UCITS ETF Acc,IE00B8X9NY41,FEUZ,EUR,128,0.65%,43.36%,12.11%,55.29%,-3.90%,23.85%,-16.01%,19.10
First Trust Germany AlphaDEX UCITS ETF Dist,IE00BWTNM966,-,EUR,3,0.65%,54.97%,20.98%,60.92%,7.93%,23.89%,-22.06%,26.32
First Trust Global Equity Income UCITS ETF Acc,IE00BYTH6121,FGBL,USD,2,0.60%,28.13%,9.83%,37.06%,-13.83%,17.86%,-6.96%,7.35
First Trust Indxx NextG UCITS ETF Acc,IE00BWTNM743,FJP,USD,3,0.70%,20.14%,1.44%,24.51%,-6.25%,10.69%,-13.82%,11.14
First Trust Nasdaq Clean Edge Green Energy UCITS ETF Acc,IE00BDBRT036,QCLU,USD,8,0.60%,45.01%,19.37%,-,8.73%,22.85%,-6.48%,-
First Trust Nasdaq Cybersecurity UCITS ETF Acc,IE00BF16M727,CIBR,USD,117,0.60%,-,-,-,-,-,-,-
First Trust United Kingdom AlphaDEX UCITS ETF Acc,IE00B8X9NZ57,FKU,GBP,14,0.65%,56.87%,21.53%,31.12%,-13.34%,34.44%,-11.79%,10.62
First Trust US IPO Index UCITS ETF Acc,IE00BYTH6238,FPX,USD,16,0.65%,73.19%,91.87%,144.20%,35.01%,32.55%,-4.26%,10.47
First Trust US Large Cap Core AlphaDEX UCITS ETF Acc,IE00B8X9NW27,FEX,USD,45,0.65%,47.81%,51.12%,87.33%,4.16%,29.00%,-5.88%,5.65
FlexShares Developed Markets High Dividend Climate ESG UCITS ETF,IE00BMYDBM76,-,GBP,4,0.29%,-,-,-,-,-,-,-
FlexShares Developed Markets Low Volatility Climate ESG UCITS ETF,IE00BMYDBG17,-,GBP,4,0.25%,-,-,-,-,-,-,-
Franklin FTSE Brazil UCITS ETF,IE00BHZRQY00,FLXB,USD,16,0.19%,23.74%,-,-,-26.61%,-,-,-
Franklin FTSE China UCITS ETF,IE00BHZRR147,FLXC,USD,133,0.19%,32.52%,-,-,19.47%,-,-,-
Franklin FTSE India UCITS ETF,IE00BHZRQZ17,FLXI,USD,41,0.19%,55.76%,-,-,3.01%,-,-,-
Franklin FTSE Korea UCITS ETF,IE00BHZRR030,FLXK,USD,622,0.09%,79.65%,-,-,32.81%,-,-,-
Franklin LibertyQ AC Asia ex Japan UCITS ETF,IE00BFWXDV39,-,USD,5,0.40%,24.35%,-,-,-2.70%,13.16%,-,-
Franklin LibertyQ Emerging Markets UCITS ETF,IE00BF2B0K52,FLXE,USD,37,0.45%,26.79%,8.69%,-,-7.04%,14.33%,-7.58%,-
Franklin LibertyQ European Dividend UCITS ETF,IE00BF2B0L69,FLXD,EUR,35,0.25%,32.93%,20.25%,-,-4.33%,21.97%,-6.95%,-
Franklin LibertyQ European Equity UCITS ETF,IE00BFWXDW46,FVUE,EUR,9,0.25%,32.63%,-,-,-3.29%,24.75%,-,-
Franklin LibertyQ Global Dividend UCITS ETF,IE00BF2B0M76,FLXX,USD,36,0.45%,30.98%,35.81%,-,-3.18%,25.98%,-3.85%,-
Franklin LibertyQ Global Equity SRI UCITS ETF,IE00BF2B0N83,FLXG,USD,18,0.40%,26.21%,37.19%,-,-0.11%,27.54%,-5.07%,-
Franklin LibertyQ U.S. Equity UCITS ETF,IE00BF2B0P08,FLXU,USD,83,0.25%,29.39%,56.34%,-,0.83%,30.71%,2.23%,-
Franklin S&P 500 Paris Aligned Climate UCITS ETF,IE00BMDPBZ72,FLX5,USD,26,0.15%,-,-,-,-,-,-,-
Franklin STOXX Europe 600 Paris Aligned Climate UCITS ETF,IE00BMDPBY65,FLXP,EUR,6,0.15%,-,-,-,-,-,-,-
Global X Telemedicine & Digital Health UCITS ETF Acc USD,IE00BLR6QB00,EDOC,USD,9,0.68%,-,-,-,-,-,-,-
Global X Video Games & Esports UCITS ETF Acc USD,IE00BLR6Q544,HERU,USD,8,0.50%,-,-,-,-,-,-,-
Gold Bullion Securities,DE000A0LP781,-,USD,"3,072",0.40%,-3.15%,34.04%,32.37%,12.76%,20.64%,2.77%,-2.11
Goldman Sachs Access China Government Bond UCITS ETF CLASS USD (Dist),IE00BJSBCS90,CBND,USD,239,0.24%,-5.27%,-,-,-2.32%,-,-,-
Goldman Sachs ActiveBeta Emerging Markets Equity UCITS ETF CLASS USD (Acc.),IE00BJ5CMD00,GSEM,USD,12,0.49%,37.33%,-,-,3.49%,-,-,-
Goldman Sachs ActiveBeta US Large Cap Equity UCITS ETF CLASS USD (Acc.),IE00BJ5CNR11,GSLC,USD,53,0.14%,35.67%,-,-,8.51%,-,-,-
HANetf Alerian Midstream Energy Dividend UCITS ETF,IE00BKPTXQ89,MMLP,USD,18,0.40%,-,-,-,-,-,-,-
HANetf BTCetc Bitcoin Exchange Traded Crypto,DE000A27Z304,-,USD,"1,065",2.00%,-,-,-,-,-,-,-
HANetf Digital Infrastructure and Connectivity UCITS ETF,IE00BL643144,DIGI,USD,33,0.69%,-,-,-,-,-,-,-
HANetf EMQQ Emerging Markets Internet & Ecommerce UCITS ETF,IE00BFYN8Y92,EMQQ,USD,326,0.86%,86.22%,-,-,65.81%,34.59%,-,-
HANetf ETHetc ETC Group Physical Ethereum,DE000A3GMKD7,-,USD,11,1.49%,-,-,-,-,-,-,-
HANetf HAN-GINS Cloud Technology Equal Weight UCITS ETF,IE00BDDRF924,SKYY,USD,24,0.59%,37.69%,-,-,18.37%,41.24%,-,-
HANetf HAN-GINS Indxx Healthcare Megatrend Equal Weight UCITS ETF,IE00BJQTJ848,WELL,USD,16,0.59%,29.90%,-,-,17.06%,-,-,-
HANetf HAN-GINS Tech Megatrend Equal Weight UCITS ETF,IE00BDDRF700,ITEK,USD,104,0.59%,84.70%,-,-,46.38%,34.34%,-,-
HANetf iClima Global Decarbonisation Enablers UCITS ETF,IE00BNC1F287,CLMA,USD,35,0.65%,-,-,-,-,-,-,-
HANetf The Medical Cannabis and Wellness UCITS ETF,IE00BG5J1M21,CBSX,USD,44,0.80%,134.50%,-,-,-,-,-,-
HANetf The Royal Mint Physical Gold ETC Securities,XS2115336336,-,USD,295,0.22%,-2.71%,-,-,-,-,-,-
HSBC Asia Pacific ex Japan Sustainable Equity UCITS ETF USD,IE00BKY58G26,-,USD,54,0.25%,-,-,-,-,-,-,-
HSBC Developed World Sustainable Equity UCITS ETF USD,IE00BKY59K37,-,USD,50,0.18%,-,-,-,-,-,-,-
HSBC Emerging Market Sustainable Equity UCITS ETF USD,IE00BKY59G90,-,USD,62,0.18%,-,-,-,-,-,-,-
HSBC EURO STOXX 50 UCITS ETF EUR,IE00B4K6B022,-,EUR,216,0.05%,43.55%,28.29%,60.00%,-2.15%,28.34%,-11.61%,9.61
HSBC Europe Sustainable Equity UCITS ETF EUR,IE00BKY55W78,-,EUR,26,0.15%,-,-,-,-,-,-,-
HSBC FTSE 100 UCITS ETF GBP,IE00B42TW061,-,GBP,473,0.07%,28.65%,9.82%,26.77%,-16.30%,23.21%,-9.56%,7.86
HSBC FTSE EPRA/NAREIT Developed UCITS ETF USD,IE00B5L01S80,-,USD,153,0.40%,22.13%,23.04%,19.96%,-16.68%,24.23%,-0.82%,-2.97
HSBC Hang Seng TECH UCITS ETF HKD,IE00BMWXKN31,-,HKD,171,0.50%,-,-,-,-,-,-,-
HSBC Japan Sustainable Equity UCITS ETF USD,IE00BKY55S33,-,USD,74,0.18%,-,-,-,-,-,-,-
HSBC MSCI AC Far East ex Japan UCITS ETF USD,IE00BBQ2W338,HMAF,USD,569,0.45%,41.82%,36.33%,89.06%,15.08%,20.48%,-10.75%,24.06
HSBC MSCI Brazil UCITS ETF USD,IE00B5W34K94,-,USD,42,0.60%,21.00%,-18.21%,34.02%,-23.20%,22.96%,3.41%,7.15
HSBC MSCI Canada UCITS ETF USD,IE00B51B7Z02,-,USD,558,0.35%,41.58%,37.20%,53.98%,-3.92%,29.58%,-13.55%,1.63
HSBC MSCI China A Inclusion UCITS ETF,IE00BF4NQ904,-,USD,43,0.30%,35.87%,-,-,30.91%,38.36%,-,-
HSBC MSCI China UCITS ETF USD,IE00B44T3H88,-,USD,609,0.30%,31.45%,33.33%,103.03%,17.57%,24.96%,-15.42%,34.46
HSBC MSCI EM Far East UCITS ETF USD,IE00B5LP3W10,-,USD,27,0.60%,45.72%,39.21%,97.25%,19.38%,21.66%,-12.53%,25.59
HSBC MSCI EM Latin America UCITS ETF USD,IE00B4TS3815,-,USD,21,0.60%,32.66%,-14.66%,18.44%,-20.89%,17.05%,-2.56%,7.54
HSBC MSCI Emerging Markets UCITS ETF USD,IE00B5SSQT16,-,USD,866,0.15%,43.41%,26.42%,73.59%,8.56%,19.30%,-10.88%,20.30
HSBC MSCI Europe UCITS ETF EUR,IE00B5BD5K76,-,EUR,143,0.10%,35.48%,24.88%,49.71%,-2.89%,26.29%,-10.63%,10.32
HSBC MSCI Indonesia UCITS ETF USD,IE00B46G8275,-,USD,44,0.60%,26.79%,-8.26%,1.30%,-15.65%,9.44%,-4.52%,8.49
HSBC MSCI Japan UCITS ETF USD,IE00B5VX7566,-,USD,193,0.19%,27.18%,24.99%,58.89%,6.56%,20.51%,-9.46%,8.80
HSBC MSCI Korea Capped UCITS ETF USD,IE00B3Z0X395,-,USD,40,0.60%,77.88%,41.25%,99.24%,32.55%,13.09%,-17.61%,27.88
HSBC MSCI Malaysia UCITS ETF USD,IE00B3X3R831,-,USD,3,0.60%,12.34%,-12.90%,-9.34%,-5.84%,-0.73%,-2.17%,9.14
HSBC MSCI Mexico Capped UCITS ETF USD,IE00B3QMYK80,-,USD,11,0.60%,53.70%,-2.95%,-4.08%,-10.67%,13.02%,-11.94%,1.46
HSBC MSCI Pacific ex Japan UCITS ETF USD,IE00B5SG8Z57,-,USD,192,0.15%,38.67%,27.99%,57.14%,-2.71%,20.20%,-6.41%,10.20
HSBC MSCI Russia Capped UCITS ETF USD,IE00B5LJZQ16,-,USD,105,0.60%,15.32%,25.24%,76.40%,-19.62%,53.51%,3.19%,-7.54
HSBC MSCI South Africa Capped UCITS ETF USD,IE00B57S5Q22,-,USD,6,0.60%,63.03%,-1.80%,25.46%,-11.84%,11.88%,-21.41%,19.22
HSBC MSCI Taiwan Capped UCITS ETF USD,IE00B3S1J086,-,USD,23,0.60%,71.20%,91.48%,166.20%,25.11%,37.10%,-4.77%,11.35
HSBC MSCI Turkey UCITS ETF USD,IE00B5BRQB73,-,USD,9,0.60%,-4.38%,-46.72%,-51.93%,-16.99%,12.61%,-38.66%,20.97
HSBC MSCI USA UCITS ETF USD,IE00B5WFQ436,-,USD,30,0.30%,41.13%,72.48%,110.04%,10.73%,33.50%,-0.45%,6.52
HSBC MSCI World UCITS ETF USD,IE00B4X9L533,-,USD,"2,469",0.15%,39.17%,54.85%,88.96%,6.46%,30.34%,-3.96%,7.84
HSBC S&P 500 UCITS ETF USD,IE00B5KQNG97,-,USD,"4,781",0.09%,38.59%,70.38%,107.78%,8.32%,33.41%,-0.06%,6.64
HSBC USA Sustainable Equity UCITS ETF USD,IE00BKY40J65,-,USD,198,0.12%,-,-,-,-,-,-,-
Invesco AT1 Capital Bond UCITS ETF EUR Hedged Dist,IE00BFZPF439,XAT1,EURHedged,412,0.39%,22.72%,-,-,5.59%,15.21%,-,-
Invesco Bloomberg Commodity ex-Agriculture UCITS ETF Acc,IE00BYXYX521,XAAG,USD,210,0.19%,17.33%,-0.63%,-,-18.01%,13.54%,-7.68%,-
Invesco Elwood Global Blockchain UCITS ETF A,IE00BGBN6P67,BCHN,USD,"1,015",0.65%,198.65%,-,-,76.28%,-,-,-
